Aba | ♂ | Török eredetű régi magyar személynév | apa | „rendkívül ritka” → „nagyon ritka”
Deján | ♂ | Szláv eredetű | csinál | „rendkívül ritka” → „rendkívül ritka”
Dejte | ♂ | Szláv eredetű régi magyar név | | „néhány előfordulás” → „néhány előfordulás”
Deli | ♂ | Magyar névalkotás a deli közszóból | katona ; ma : délceg | „rendkívül ritka” → „nagyon ritka”
Deme | ♂ | A Demeter ‣ régi magyar becéző rövidülése | | „néhány előfordulás” → „rendkívül ritka”
Demény | ♂ | A Demjén ‣ régi magyar alakváltozata | | „néhány előfordulás” → „néhány előfordulás”
Demeter | ♂ | A görög Démétriosz névből szárm . ; szláv közvetítéssel került a magyarba | Démétérnek ajánlott | „nagyon ritka” → „nagyon ritka”
Demjén | ♂ | A Damján ‣ önállósult alakváltozata | | „néhány előfordulás” → „néhány előfordulás”
Dénes | ♂ | A görög Dionüszosz névből származik | Dionüszosznak ajánlott | „közepesen gyakori” → „közepesen gyakori”
Dengezik | ♂ | Bizonytalan eredetű . ; Hun mondakörben Attila ‣ egyik fiának neve | ismeretlen | „néhány előfordulás” → „néhány előfordulás”
Denisz | ♂ | Dénes ‣ angol alakváltozata | Dionüszosznak ajánlott | „nagyon ritka” → „elég ritka”
Denton | ♂ | Angol eredetű helynévből . | völgyes város | „néhány előfordulás” → „nagyon ritka”
Deodát | ♂ | Az Adeodát ‣ név rövidülése | | „néhány előfordulás” → „néhány előfordulás”
Derel | ♂ | Óangol eredetű | kedves | „néhány előfordulás” → „néhány előfordulás”
Ders | ♂ | Szláv eredetű régi magyar név | | „néhány előfordulás” → „nagyon ritka”
Derzs | ♂ | A Ders ‣ alakváltozata | | „néhány előfordulás” → „néhány előfordulás”
Dés | ♂ | A latin Desiderius régi magyar rövidült alakja | | „néhány előfordulás” → „néhány előfordulás”
Detre | ♂ | A germán eredetű Dietrich név megmagyarosodott alakja | nép + hatalmas | „rendkívül ritka” → „nagyon ritka”
Dévald | ♂ | Germán eredetű német név | nép + uralkodó ; tevékeny | „néhány előfordulás” → „néhány előfordulás”
Devecser | ♂ | Szláv eredetű | kilencdszedő | „néhány előfordulás” → „néhány előfordulás”
Dezsér | ♂ | A Dezső ‣ régebbi magyar alakja ; A Dezsidér névforma rövidülése | | „néhány előfordulás” → „néhány előfordulás”
Dezsider | ♂ | A Dezső ‣ névnek a latin eredetihez legközelebb álló magyar alakja | | „néhány előfordulás” → „néhány előfordulás”
Dezső | ♂ | A latin Desiderius névből | óhajtott ; kívánt ( gyermek ) | „közepesen gyakori” → „nagyon ritka”
Diegó | ♂ | Spanyol eredetű | ismeretlen | „néhány előfordulás” → „nagyon ritka”
Dienes | ♂ | A Dénes ‣ régebbi magyar alakváltozata | | „néhány előfordulás” → „néhány előfordulás”
Dilen | ♂ | Dilon ‣ alakváltozata | oroszlánhoz hasonlatos ; hűséges férfi | „néhány előfordulás” → „nagyon ritka”
Dilon | ♂ | Kelta eredetű | oroszlánhoz hasonlatos ; hűséges férfi | „néhány előfordulás” → „néhány előfordulás”
Dimitri | ♂ | Dimitrij ‣ alakváltozata | Dimitra ‣ fia | „rendkívül ritka” → „nagyon ritka”
Dimitrij | ♂ | Görög eredetű szláv név | Dimitra ‣ fia | „néhány előfordulás” → „néhány előfordulás”
Dioméd | ♂ | A Diomédész névből rövidült | Isten akarata szerint való | „néhány előfordulás” → „rendkívül ritka”
Ditmár | ♂ | Germán eredetű német névből | nép + híres | „néhány előfordulás” → „néhány előfordulás”
Doboka | ♂ | Régi magyar személynév | Ismeretlen | „néhány előfordulás” → „néhány előfordulás”
Dókus | ♂ | A Dávid ‣ és a Domokos ‣ régi magyar becéző rövidülése | | „néhány előfordulás” → „néhány előfordulás”
Doma | ♂ | Domonkos ‣ ; Damján ‣ ; Domján régi önállósult becéző alakváltozata | | „néhány előfordulás” → „rendkívül ritka”
Domán | ♂ | Régi magyar | | „nagyon ritka” → „nagyon ritka”
Dománd | ♂ | Régi magyar | | „néhány előfordulás” → „néhány előfordulás”
Domicián | ♂ | A latin eredetű Domitianus névből | a Domitius nemzetséghez tartozó | „rendkívül ritka” → „néhány előfordulás”
Dominik | ♂ | A latin Dominicus névből | az Úrhoz tartozó ; Istennek szentelt | „közepesen gyakori” → „első tízben”
Domokos | ♂ | A Domonkos ‣ önállósult alakváltozata | | „elég ritka” → „nagyon ritka”
Domonkos | ♂ | A latin Dominicus név magyar formája | | „elég ritka” → „közepesen gyakori”
Domos | ♂ | A Domokos ‣ , Domonkos ‣ régi magyar becéző rövidülése | | „rendkívül ritka” → „nagyon ritka”
Donald | ♂ | Kelta ( közelebbről gael ) eredetű | világ + hatalmas ; uralkodó | „rendkívül ritka” → „néhány előfordulás”
Donát | ♂ | Latin eredetű név | ( Istentől ) ajándékozott | „elég ritka” → „közepesen gyakori”
Donátó | ♂ | A Donát ‣ olasz eredetű alakváltozata | | „néhány előfordulás” → „néhány előfordulás”
Dorián | ♂ | Görög eredetű latin névből | dór férfi | „elég ritka” → „közepesen gyakori”
Dorion | ♂ | Dorián ‣ alakváltozata | dór férfi | „néhány előfordulás” → „néhány előfordulás”
Dormán | ♂ | Török eredetű régi magyar | ?( meg ) áll jelentésű ótörök szó szerepel benne | „néhány előfordulás” → „néhány előfordulás”
Dormánd | ♂ | Dormán ‣ kicsinyítőképzős alakváltozata | ?( meg ) áll jelentésű ótörök szó szerepel benne | „néhány előfordulás” → „néhány előfordulás”
Dov | ♂ | Héber eredetű | medve | „néhány előfordulás” → „rendkívül ritka”
Dózsa | ♂ | A Dávid ‣ név régi magyar becézője | | „néhány előfordulás” → „néhány előfordulás”
Döme | ♂ | A Dömötör ‣ név régi magyar becézője | | „nagyon ritka” → „nagyon ritka”
Dömjén | ♂ | A Damján ‣ név Demjén ‣ formájának alakváltozata | | „néhány előfordulás” → „néhány előfordulás”
Dömös | ♂ | A Dömötör ‣ név régi magyar becézője | | „néhány előfordulás” → „néhány előfordulás”
Dömötör | ♂ | A Demeter ‣ alakváltozata | | „nagyon ritka” → „rendkívül ritka”
Drasek | ♂ | a szláv eredetű Dragoslav név alakváltozata | drága+dicsőség | „néhány előfordulás” → „néhány előfordulás”
Dukász | ♂ | Görög eredetű név | vezér ; vezető | „néhány előfordulás” → „néhány előfordulás”
Dusán | ♂ | Délszláv eredetű | lélek | „nagyon ritka” → „elég ritka”
Dzsamal | ♂ | Arab eredetű | jóképű | „néhány előfordulás” → „rendkívül ritka”
Dzsárgál | ♂ | mongol eredetű | jó jel ; jó ómen ; örömünnep | „néhány előfordulás” → „néhány előfordulás”
Dzsasztin | ♂ | Dasztin ‣ angolos formája | | „rendkívül ritka” → „nagyon ritka”
Dzsingiz | ♂ | Mongol eredetű név | egyetemes uralkodó | „néhány előfordulás” → „néhány előfordulás”
Dzsínó | ♂ | Olasz eredetű . A - gino végződésű férfinevek rövidült alakváltozata | | „rendkívül ritka” → „nagyon ritka”
Dzsúlió | ♂ | Júliusz ‣ név olasz alakváltozata | jelentése bizonytalan , talán : Jupiter istennek szentelt ; ragyogó | „rendkívül ritka” → „nagyon ritka”
Ében | ♂ | Héber eredetű angol név | segítség kősziklája | „néhány előfordulás” → „nagyon ritka”
Ede | ♂ | Az Edvárd ‣ , Eduárd ‣ név német rövidüléséből önállósult | | „elég ritka” → „nagyon ritka”
Edekon | ♂ | Ismeretelen eredetű . Attila ‣ hun király testőrparancsnokának neve . | ismeretlen | „néhány előfordulás” → „rendkívül ritka”
Edgár | ♂ | Germán ( angolszász ) eredetű név | birtok ; vagyon + dárda | „nagyon ritka” → „nagyon ritka”
Edizon | ♂ | angol eredetű . A név családnévként is ismert és használt . | Edvárd ‣ fia ' | „néhány előfordulás” → „néhány előfordulás”
Edmond | ♂ | Az Edmund ‣ név alakváltozata | | „nagyon ritka” → „nagyon ritka”
Edmund | ♂ | Germán ( angolszász ) eredetű név | birtok ; vagyon + védelem | „rendkívül ritka” → „rendkívül ritka”
Edömér | ♂ | Valószínűleg ótörök ( kun ) eredetű név | jelentése ismeretlen | „néhány előfordulás” → „néhány előfordulás”
Edrik | ♂ | Angol eredetű | erő + hatalom | „néhány előfordulás” → „rendkívül ritka”
Eduárd | ♂ | Az angol Edward ( Edvárd ‣ ) névnek a német alakváltozatából való | birtok ; vagyon + őrzés ; védelem | „nagyon ritka” → „nagyon ritka”
Eduárdó | ♂ | Az Eduárd ‣ olasz alakváltozata | birtok ; vagyon + őrzés ; védelem | „néhány előfordulás” → „nagyon ritka”
Edvárd | ♂ | Germán ( angolszász ) eredetű név | birtok ; vagyon + őrzés ; védelem | „elég ritka” → „elég ritka”
Edvin | ♂ | Germán ( angolszász ) eredetű angol névből származik | birtok ; vagyon + barát | „nagyon ritka” → „nagyon ritka”
Efraim | ♂ | Héber eredetű bibliai név | termékenység ; kettős termés | „rendkívül ritka” → „nagyon ritka”
Egbert | ♂ | Germán eredetű név | kard + fényes ; híres | „néhány előfordulás” → „néhány előfordulás”
Egmont | ♂ | Germán eredetű név | kard + védelem | „néhány előfordulás” → „néhány előfordulás”
Egon | ♂ | Germán eredetű német név | kard(hegy ) + erős ; merész | „nagyon ritka” → „nagyon ritka”
Egyed | ♂ | A görög eredetű latin Aegidius ( Egidius ) név Egid rövidülésének a régi magyar olvasata | pajzshordozó ; egyetlenke ; elsőszülött ; szentecske | „néhány előfordulás” → „néhány előfordulás”
Elád | ♂ | Héber eredetű bibliai név | Isten felemel ; Isten tanúskodik ; Isten a tanú | „néhány előfordulás” → „néhány előfordulás”
Eldon | ♂ | Angol helynévi eredetű név | Ella ‣ hegye | „néhány előfordulás” → „néhány előfordulás”
Elek | ♂ | Vitatott eredetű név | | „elég ritka” → „nagyon ritka”
Elemér | ♂ | Bizonytalan eredetű régi magyar személynév | nagy + béke ; nemes + híres | „közepesen gyakori” → „nagyon ritka”
Elián | ♂ | Latin eredetű francia név | Aelianus nemztségnévből | „néhány előfordulás” → „néhány előfordulás”
Éliás | ♂ | A héber eredetű bibliai Élia név görög formájából származik | Jahve ( az ) Isten ; Jahve az én Istenem | „néhány előfordulás” → „néhány előfordulás”
Eliél | ♂ | Héber eredetű bibliai név | az én Istenem az Isten ; akinek Isten az erőssége ; az erős Isten | „néhány előfordulás” → „néhány előfordulás”
Eliézer | ♂ | Héber eredetű bibliai név | Isten segítség ; Isten segítsége | „néhány előfordulás” → „rendkívül ritka”
Elígiusz | ♂ | Latin eredetű név | kiválasztott | „néhány előfordulás” → „néhány előfordulás”
Eliot | ♂ | Az Éliás ‣ név angol kicsinyítőképzős formája | | „rendkívül ritka” → „nagyon ritka”
Elizeus | ♂ | Héber eredetű bibliai névnek a latin formájából származik | Isten segített | „néhány előfordulás” → „néhány előfordulás”
Ellák | ♂ | Attila ‣ hun uralkodó fiának a neve | tölgy ; uralkodó ; kormányzó ; király | „néhány előfordulás” → „rendkívül ritka”
Elmár | ♂ | A germán Adalmar , Adelmar , vagy Eilmar névből származik | nemes ( vagy : kard ) + híres | „néhány előfordulás” → „néhány előfordulás”
Elmó | ♂ | Az Elmár ‣ név német eredetű rövidülése | | „néhány előfordulás” → „néhány előfordulás”
Élon | ♂ | Héber eredetű bibliai névnek a latin formájából származik | erős fa ; tölgy ; fenséges ; erős | „néhány előfordulás” → „néhány előfordulás”
Előd | ♂ | Régi magyar személynév | elsőszülött ; ős | „elég ritka” → „elég ritka”
Elton | ♂ | Angol helynévi eredetű név | Ella ‣ hegye | „néhány előfordulás” → „néhány előfordulás”
Emánuel | ♂ | A héber eredetű bibliai Immánuél névből származik | velünk az Isten | „nagyon ritka” → „nagyon ritka”
Emeka | ♂ | afrikai igbo név ; Chukwuemeka névből rövidült | :' Isten jótéteménye , csodálatos , nagyszerű ' | „néhány előfordulás” → „néhány előfordulás”
Emil | ♂ | Latin eredetű név | versengő ; igyekvő | „közepesen gyakori” → „elég ritka”
Emilián | ♂ | Latin eredetű név | az Aemilius nemzetséghez tartozó férfi | „rendkívül ritka” → „nagyon ritka”
Emmett | ♂ | Germán eredetű | teljes ; egész | „néhány előfordulás” → „néhány előfordulás”
Emőd | ♂ | Régi magyar személynév | kis csecsemő | „néhány előfordulás” → „néhány előfordulás”
Endre | ♂ | Az András ‣ név alakváltozata | | „közepesen gyakori” → „elég ritka”
Éneás | ♂ | A görög mitológiai Aineiasz név latin Aeneas formájából származik | | „néhány előfordulás” → „néhány előfordulás”
Engelbert | ♂ | Germán eredetű német név | első eleme az angil , angel törsznév ; a második elem jelentése : fényes ; híres | „rendkívül ritka” → „néhány előfordulás”
Engelhard | ♂ | Germán eredetű német név | első eleme az angil , angel törsznév ; a második elem jelentése : erős ; merész | „néhány előfordulás” → „néhány előfordulás”
Enki | ♂ | Sumér eredetű mitológiai név | a világ ura ; az alvilág ura | „néhány előfordulás” → „rendkívül ritka”
Énok | ♂ | A héber eredetű bibliai Hénoch névből származik | fölszentelt | „rendkívül ritka” → „rendkívül ritka”
Énók | ♂ | Az Énok ‣ név alakváltozata | | „néhány előfordulás” → „rendkívül ritka”
Enrikó | ♂ | Henrik ‣ olasz változata | ház ( vagy bekerített hely ) + hatalmas ; uralkodó | „rendkívül ritka” → „nagyon ritka”
Enzó | ♂ | A Heinz ( Henrik ‣ ) név olasz alakváltozata ; A Lorenzo , Vincenzo önállósult rövid alakja | | „rendkívül ritka” → „nagyon ritka”
Erazmus | ♂ | Görög eredetű név | szeretett ; óhajtott ( vagy : szeretetreméltó ) | „néhány előfordulás” → „néhány előfordulás”
Erhard | ♂ | Germán eredetű német név | becsület + erős ; merész | „nagyon ritka” → „néhány előfordulás”
Erik | ♂ | Germán eredetű név | becsület ( más feltevés szerint : egyedül ) + hatalmas ; uralkodó | „közepesen gyakori” → „közepesen gyakori”
Erk | ♂ | Az Erik ‣ fríz és svéd alakváltozata | becsület ( más feltevés szerint : egyedül ) + hatalmas ; uralkodó | „néhány előfordulás” → „néhány előfordulás”
Ernák | ♂ | Attila ‣ hun uralkodó második fiának a neve ; feltehetőleg a germán Arnold ‣ név Ernke , Erne változatából való | férfi | „néhány előfordulás” → „néhány előfordulás”
Erneszt | ♂ | Germán eredetű név | komolyság ; erély | „néhány előfordulás” → „néhány előfordulás”
Ernesztó | ♂ | Erneszt ‣ olasz és spanyol alakváltozata | komolyság ; erély | „néhány előfordulás” → „rendkívül ritka”
Ernik | ♂ | Henrik ‣ német alakváltozata | ház ( vagy bekerített hely ) + hatalmas ; uralkodó | „néhány előfordulás” → „néhány előfordulás”
Ernő | ♂ | magyar nyelvújítási alkotás - ő kicsinyítő képzővel az Erneszt ‣ névből | | „közepesen gyakori” → „elég ritka”
Ernye | ♂ | Az Ernák ‣ névvel való azonosítása vitatható | | „néhány előfordulás” → „néhány előfordulás”
Erős | ♂ | Régi magyar személynév | | „néhány előfordulás” → „néhány előfordulás”
Ervin | ♂ | Germán eredetű név | had(sereg ) + barát ; becsület ; örökség ; vadkan | „közepesen gyakori” → „elég ritka”
Étán | ♂ | Héber eredetű bibliai név | tartósság ; állandóság ; kitartó ; megmaradó | „néhány előfordulás” → „néhány előfordulás”
Ete | ♂ | Régi magyar személynév ; az Etele ‣ név rövidülése | | „néhány előfordulás” → „néhány előfordulás”
Etele | ♂ | A germán eredetű Attila ‣ névnek vagy későbbi német Etzel származékának a régi magyar formája | | „nagyon ritka” → „nagyon ritka”
Etre | ♂ | Régi magyar személynév | határ + kerítés | „néhány előfordulás” → „néhány előfordulás”
Eugén | ♂ | Görög eredetű név | jó születésű ; előkelő | „néhány előfordulás” → „nagyon ritka”
Euszták | ♂ | Görög eredetű név | dús kalászú ; termékeny | „néhány előfordulás” → „néhány előfordulás”
Eutim | ♂ | Görög eredetű név | jóakaratú | „néhány előfordulás” → „néhány előfordulás”
Évald | ♂ | Germán eredetű név | jog ; törvény + uralkodó ; tevékeny | „néhány előfordulás” → „néhány előfordulás”
Evariszt | ♂ | Görög eredetű név | nagyon erős | „néhány előfordulás” → „néhány előfordulás”
Everard | ♂ | Germán eredetű angol név | vadkan + erős ; merész | „néhány előfordulás” → „néhány előfordulás”
Ezékiel | ♂ | Héber eredetű bibliai név | Isten teszi erőssé a gyermeket | „néhány előfordulás” → „nagyon ritka”
Ezel | ♂ | Bibliai eredetű helynév | | „néhány előfordulás” → „nagyon ritka”
Ezra | ♂ | Héber eredetű bibliai név | segítség | „néhány előfordulás” → „rendkívül ritka”
Ézsaiás | ♂ | A héber eredetű bibliai Jesaja , Izajás névből származik | Jahve szabadulás | „néhány előfordulás” → „néhány előfordulás”
Fábián | ♂ | A latin Fabianus névből származik | A Fabius nemzetséghez tartozó férfi | „nagyon ritka” → „nagyon ritka”
Fábió | ♂ | A Fábiusz ‣ név olasz formájából való | | „néhány előfordulás” → „rendkívül ritka”
Fábiusz | ♂ | A latin Fabius nemzetségnévből származik | babos ; babtermesztő | „néhány előfordulás” → „néhány előfordulás”
Fabó | ♂ | A Fábián ‣ régi magyar becézőjéből önállósult | | „néhány előfordulás” → „néhány előfordulás”
Fabríció | ♂ | A Fabríciusz ‣ név olasz formájából való | | „néhány előfordulás” → „nagyon ritka”
Fabrícius | ♂ | A Fabríciusz ‣ név s-sel ejtett magyar alakváltozata | | „néhány előfordulás” → „néhány előfordulás”
Fabríciusz | ♂ | Latin eredetű név ; a római Fabricius nemzetségnévből származik | A mesterség , műhely jelentésű latin fabrica szóval függ össze | „néhány előfordulás” → „néhány előfordulás”
Fajsz | ♂ | Régi magyar | faló ; falánk | „néhány előfordulás” → „néhány előfordulás”
Farkas | ♂ | Régi magyar | | „nagyon ritka” → „nagyon ritka”
Fausztusz | ♂ | Latin eredetű | szerencsés | „néhány előfordulás” → „néhány előfordulás”
Fedor | ♂ | A Teodor ‣ név orosz megfelelőjéből származik | | „rendkívül ritka” → „néhány előfordulás”
Felicián | ♂ | Latin eredetű név ; a Félix ‣ származéka | | „nagyon ritka” → „rendkívül ritka”
Félix | ♂ | Latin eredetű | boldog ; szerencsés | „elég ritka” → „elég ritka”
Ferdinánd | ♂ | Germán eredetű | béke ; védelem + merész | „nagyon ritka” → „nagyon ritka”
Ferenc | ♂ | Az olasz Francesco név latinosított Franciscus formájából | francia | „első tízben” → „közepesen gyakori”
Fernandó | ♂ | Ferdinánd ‣ spanyol alakváltozata | béke ; védelem + merész | „rendkívül ritka” → „nagyon ritka”
Fernándó | ♂ | Fernandó ‣ alakváltozata | béke ; védelem + merész | „néhány előfordulás” → „rendkívül ritka”
Fidél | ♂ | Latin eredetű | hűséges | „néhány előfordulás” → „rendkívül ritka”
Filemon | ♂ | Görög eredetű | barátságos ; nyájas | „néhány előfordulás” → „rendkívül ritka”
Filep | ♂ | Fülöp ‣ régi magyar alakváltozata | lókedvelő | „néhány előfordulás” → „néhány előfordulás”
Filibert | ♂ | Germán eredetű | nagyon + fényes ; híres | „néhány előfordulás” → „néhány előfordulás”
Filip | ♂ | A Fülöp ‣ név idegen nyelvekbeli formájából való | lókedvelő | „nagyon ritka” → „nagyon ritka”
Filippó | ♂ | Fülöp ‣ olasz alakváltozata | lókedvelő | „néhány előfordulás” → „néhány előfordulás”
Filomén | ♂ | Görög eredetű | szeretett | „néhány előfordulás” → „néhány előfordulás”
Flavián | ♂ | A latin Flavinius név rövidülése | A Flavius nemzetséghez tartozó ( férfi ) | „néhány előfordulás” → „néhány előfordulás”
Flávió | ♂ | A Fláviusz ‣ név olasz formája | | „rendkívül ritka” → „nagyon ritka”
Fláviusz | ♂ | Latin eredetű | szőke | „néhány előfordulás” → „néhány előfordulás”
Florentin | ♂ | A latin Florentinus név rövidülése | Florentia ( ma Firenze ) városából való | „rendkívül ritka” → „rendkívül ritka”
Flórián | ♂ | A latin Florianus rövidülése | virágos ; virágzó | „elég ritka” → „közepesen gyakori”
Flóris | ♂ | A Flórián ‣ név - s kicsinyítőképzős , önállósult származéka | | „néhány előfordulás” → „néhány előfordulás”
Fodor | ♂ | Régi magyar | göndör hajú | „néhány előfordulás” → „néhány előfordulás”
Folkus | ♂ | Régi magyar | nép + híres | „néhány előfordulás” → „néhány előfordulás”
Fóris | ♂ | A Flórián ‣ régi magyar becézőjéből önállósult | | „néhány előfordulás” → „néhány előfordulás”
Fortunát | ♂ | A latin Fortunatus rövidülése | boldog ; szerencsés | „néhány előfordulás” → „néhány előfordulás”
Fortunátó | ♂ | Fortunát ‣ olasz alakváltozata | boldog ; szerencsés | „néhány előfordulás” → „néhány előfordulás”
Frank | ♂ | Germán eredetű német | | „nagyon ritka” → „nagyon ritka”
Franklin | ♂ | Középangol eredetű | szabad polgár | „néhány előfordulás” → „néhány előfordulás”
Frederik | ♂ | ógermán eredetű név | béke + uralkodó ; hatalom | „rendkívül ritka” → „rendkívül ritka”
Frederíkó | ♂ | Fredirik olasz alakváltozata | béke + uralkodó ; hatalom | „néhány előfordulás” → „nagyon ritka”
Fremont | ♂ | Francia eredetű | szabadság pártfogója | „néhány előfordulás” → „néhány előfordulás”
Fridolin | ♂ | Német eredetű | | „néhány előfordulás” → „néhány előfordulás”
Frigyes | ♂ | XIX . századi magyar névalkotás | béke ; védelem + hatalmas ; uralkodó | „elég ritka” → „nagyon ritka”
Frodó | ♂ | Angol eredetű irodalmi névadás . Tolkien Gyűrük ura hobbitjának neve | bölcs ; okos ; megfontolt | „néhány előfordulás” → „néhány előfordulás”
Fülöp | ♂ | A görög Philippos név rövidülésének a magyar alakváltozata | lókedvelő | „nagyon ritka” → „elég ritka”
Gábor | ♂ | Héber eredetű bibliai név | Isten embere ; vagy Isten erősnek bizonyult | „első tízben” → „nagyon gyakori”
Gabos | ♂ | A Gábor ‣ régi magyar becézőjéből önállósult | Isten embere ; vagy Isten erősnek bizonyult | „néhány előfordulás” → „néhány előfordulás”
Gábriel | ♂ | A Gábor ‣ névnek az eredeti formához közelebb álló alakváltozata | Isten embere ; vagy Isten erősnek bizonyult | „nagyon ritka” → „elég ritka”
Gál | ♂ | A Gallusz ‣ név régi magyar formája ; a Gálos ‣ rövidülése | | „rendkívül ritka” → „néhány előfordulás”
Gallusz | ♂ | A kelta ( ír ) eredetű Gallo név latin Gallus formájából származik | gall ( az ilyen nevű néphez tartozó ) ; a gallus szó a latinban egyébként kakast jelent | „néhány előfordulás” → „néhány előfordulás”
Gálos | ♂ | A Gallusz ‣ név régi magyar formája | | „néhány előfordulás” → „néhány előfordulás”
Gandalf | ♂ | Norvég mitológiai név . ; Angol irodalmi névadás Tolkien Gyűrűk ura és Hobbit művében a mágus neve . | pálca + manó | „néhány előfordulás” → „néhány előfordulás”
Gara | ♂ | Régi magyar személynév | fekete | „néhány előfordulás” → „rendkívül ritka”
Gáspár | ♂ | Bizonytalan eredetű név | kincset megőrző ; kincstárnok | „elég ritka” → „nagyon ritka”
Gaszton | ♂ | Bizonytalan eredetű francia név | | „rendkívül ritka” → „néhány előfordulás”
Gazsó | ♂ | A Gáspár ‣ régi magyar becézőjéből önállósult | | „néhány előfordulás” → „néhány előfordulás”
Gécsa | ♂ | A Géza ‣ név egyik újkori alakváltozata | herceg(ecske ) | „néhány előfordulás” → „néhány előfordulás”
Gede | ♂ | Régi magyar személynév ; a Gedeon ‣ rövidülése | kétélű kard ; kardforgató ; sebzett kezű ; romboló ; pusztító | „néhány előfordulás” → „néhány előfordulás”
Gedeon | ♂ | Héber eredetű bibliai név | kétélű kard ; kardforgató ; sebzett kezű ; romboló ; pusztító | „nagyon ritka” → „rendkívül ritka”
Gedő | ♂ | A Gedeon ‣ név régi magyar becézőjéből önállósult | kétélű kard ; kardforgató ; sebzett kezű ; romboló ; pusztító | „néhány előfordulás” → „néhány előfordulás”
Gejza | ♂ | A Géza ‣ név egyik újkori alakváltozata | kétélű kard ; kardforgató ; sebzett kezű ; romboló ; pusztító | „néhány előfordulás” → „néhány előfordulás”
Gellén | ♂ | A Kilián ‣ név régi magyar alakváltozata | ? remete ; ? szerzetes ; ? cellában lakó | „néhány előfordulás” → „rendkívül ritka”
Gellért | ♂ | A germán eredetű Gerhard , Gerhart névből származik | gerely ; dárda + erős ; merész | „elég ritka” → „közepesen gyakori”
Geminián | ♂ | A latin Geminianus név rövidülése | iker | „néhány előfordulás” → „rendkívül ritka”
Geraszim | ♂ | Görög eredetű szláv névből származik | tiszteletreméltó | „néhány előfordulás” → „néhány előfordulás”
Geréb | ♂ | Régi magyar személynév | gerely ; dárda + fényes ; híres | „néhány előfordulás” → „néhány előfordulás”
Gereben | ♂ | Régi magyar személynév | | „néhány előfordulás” → „néhány előfordulás”
Gergely | ♂ | A görög eredetű Grégoriosz név latin Gregorius formájának a Gregor ‣ rövidüléséből származik | éberen őrködő | „nagyon gyakori” → „közepesen gyakori”
Gergő | ♂ | A Gergely ‣ név becézőjéből önállósult | | „nagyon gyakori” → „első tízben”
Gerhárd | ♂ | Germán eredetű német névből származik | gerely ; dárda + erős ; merész | „néhány előfordulás” → „néhány előfordulás”
Gerjén | ♂ | A görög eredetű német Gereon név magyar alakváltozata | Gerenia városából való férfi ; ( más feltevések szerint : a legidősebb ; aggastyán ) | „néhány előfordulás” → „néhány előfordulás”
Germán | ♂ | A latin Germanus névből származik | germán ; a germán néphez tartozó ; más feltevés szerint : törzsökös ; édes testvér | „néhány előfordulás” → „néhány előfordulás”
Gerold | ♂ | Germán eredetű német név | gerely ; dárda + uralkodó ; tevékeny | „rendkívül ritka” → „néhány előfordulás”
Gerő | ♂ | A Gergely ‣ név régi magyar becézőjéből önállósult | | „rendkívül ritka” → „rendkívül ritka”
Gerváz | ♂ | Valószínűleg a görög eredetű latin Gervasius névből származik | idős férfi ; aggastyán ( ill . akire hosszú élet vár ) ; gerely ; dárda + szolga ; katona ; alattvaló | „néhány előfordulás” → „néhány előfordulás”
Gerzson | ♂ | Héber eredetű bibliai név | idegen ; jövevény ; száműzött | „nagyon ritka” → „nagyon ritka”
Géza | ♂ | Régi magyar személynév | herceg(ecske ) | „nagyon gyakori” → „elég ritka”
Gibárt | ♂ | A német Gebhard név régi magyar formája | adomány + erős ; merész | „néhány előfordulás” → „néhány előfordulás”
Gida | ♂ | A Gedeon ‣ név becézőjéből önállósult | | „néhány előfordulás” → „néhány előfordulás”
Gilbert | ♂ | Germán eredetű német név | első elem jelentése : túsz ; biztosíték ; nyíl ; bot ; második elem jelentése : fényes ; híres | „rendkívül ritka” → „nagyon ritka”
Gilgames | ♂ | Sumér eredetű név | az öreg - ifjú | „néhány előfordulás” → „néhány előfordulás”
Girót | ♂ | A Gerold ‣ név régi magyar formája | | „néhány előfordulás” → „néhány előfordulás”
Gobert | ♂ | Germán eredetű név , a Godbert , Gottbert alakváltozata | isten + fényes ; híres | „néhány előfordulás” → „néhány előfordulás”
Godó | ♂ | Német eredetű név ; A Gott - kezdetű nevek önállósult rövidülése | | „néhány előfordulás” → „néhány előfordulás”
Godvin | ♂ | Germán eredetű angol és északnémet név | isten + barát | „néhány előfordulás” → „rendkívül ritka”
Gópál | ♂ | Szanszkrit eredetű név | tehénpásztor ; a tehenek oltalamzója | „néhány előfordulás” → „rendkívül ritka”
Gorán | ♂ | A György ‣ szerb , horvát és bolgár alakváltozata | földműves ; gazdálkodó | „rendkívül ritka” → „nagyon ritka”
Gordon | ♂ | Skót családnévből származó angol név | nagy domb | „nagyon ritka” → „nagyon ritka”
Gorgiás | ♂ | Görög eredetű ; Gorgiasz ókori filozófus és szónok nevéből származik | vad ; zord | „néhány előfordulás” → „néhány előfordulás”
Gotárd | ♂ | A Gothárd ‣ név alakváltozata | | „néhány előfordulás” → „néhány előfordulás”
Gotfrid | ♂ | A germán eredetű német Gottfried névből származik | isten + béke ; védelem | „néhány előfordulás” → „néhány előfordulás”
Gothárd | ♂ | A germán eredetű német Gotthard névből származik | isten + erős ; merész | „néhány előfordulás” → „néhány előfordulás”
